trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
NORMAL_03_106_Return_11:25,11:46:45,11:46:45,2,2,,,,,
NORMAL_03_104_Go_11:25,11:25:00,11:25:00,10,1,,,,,
NORMAL_03_104_Go_11:25,11:35:23,11:35:23,11,2,,,,,
NORMAL_03_104_Return_15:55,15:55:00,15:55:00,11,1,,,,,
NORMAL_03_104_Return_15:55,16:06:21,16:06:21,10,2,,,,,
NORMAL_03_107_Return_16:10,16:10:00,16:10:00,2,1,,,,,
NORMAL_03_107_Return_16:10,16:19:39,16:19:39,10,2,,,,,
NORMAL_03_104_Go_18:15,18:15:00,18:15:00,10,1,,,,,
NORMAL_03_104_Go_18:15,18:25:37,18:25:37,11,2,,,,,
NORMAL_03_107_Return_20:50,20:50:00,20:50:00,2,1,,,,,
NORMAL_03_107_Return_20:50,20:59:39,20:59:39,10,2,,,,,
NORMAL_03_101_Return_17:05,17:05:00,17:05:00,2,1,,,,,
NORMAL_03_101_Return_17:05,17:12:15,17:12:15,3,2,,,,,
NORMAL_03_101_Return_11:30,11:30:00,11:30:00,2,1,,,,,
NORMAL_03_101_Return_11:30,11:37:05,11:37:05,3,2,,,,,
NORMAL_03_102_Return_20:25,20:25:00,20:25:00,7,1,,,,,
NORMAL_03_102_Return_20:25,20:38:05,20:38:05,10,2,,,,,
NORMAL_03_106_Go_08:10,08:10:00,08:10:00,2,1,,,,,
NORMAL_03_106_Go_08:10,08:24:26,08:24:26,13,2,,,,,
NORMAL_03_101_Go_18:05,18:05:00,18:05:00,3,1,,,,,
NORMAL_03_101_Go_18:05,18:14:05,18:14:05,2,2,,,,,
NORMAL_03_103_Go_20:40,20:40:00,20:40:00,10,1,,,,,
NORMAL_03_103_Go_20:40,20:53:59,20:53:59,9,2,,,,,
NORMAL_03_107_Return_18:25,18:25:00,18:25:00,2,1,,,,,
NORMAL_03_107_Return_18:25,18:34:39,18:34:39,10,2,,,,,
NORMAL_03_105_Go_10:00,10:00:00,10:00:00,10,1,,,,,
NORMAL_03_105_Go_10:00,10:11:48,10:11:48,3,2,,,,,
NORMAL_03_105_Go_07:15,07:15:00,07:15:00,10,1,,,,,
NORMAL_03_105_Go_07:15,07:33:12,07:33:12,3,2,,,,,
NORMAL_03_103_Return_10:35,10:35:00,10:35:00,9,1,,,,,
NORMAL_03_103_Return_10:35,10:45:48,10:45:48,10,2,,,,,
NORMAL_03_102_Return_07:30,07:30:00,07:30:00,7,1,,,,,
NORMAL_03_102_Return_07:30,07:40:40,07:40:40,10,2,,,,,
NORMAL_03_102_Return_09:00,09:00:00,09:00:00,7,1,,,,,
NORMAL_03_102_Return_09:00,09:10:48,09:10:48,10,2,,,,,
NORMAL_03_101_Go_18:00,18:00:00,18:00:00,3,1,,,,,
NORMAL_03_101_Go_18:00,18:09:05,18:09:05,2,2,,,,,
NORMAL_03_107_Return_14:35,14:35:00,14:35:00,2,1,,,,,
NORMAL_03_107_Return_14:35,14:44:39,14:44:39,10,2,,,,,
NORMAL_03_102_Return_10:50,10:50:00,10:50:00,7,1,,,,,
NORMAL_03_102_Return_10:50,11:01:29,11:01:29,10,2,,,,,
NORMAL_03_104_Return_22:25,22:25:00,22:25:00,11,1,,,,,
NORMAL_03_104_Return_22:25,22:36:21,22:36:21,10,2,,,,,
NORMAL_03_102_Go_21:35,21:35:00,21:35:00,10,1,,,,,
NORMAL_03_102_Go_21:35,21:46:56,21:46:56,7,2,,,,,
NORMAL_03_107_Return_08:50,08:50:00,08:50:00,2,1,,,,,
NORMAL_03_107_Return_08:50,08:59:39,08:59:39,10,2,,,,,
NORMAL_03_107_Return_13:05,13:05:00,13:05:00,2,1,,,,,
NORMAL_03_107_Return_13:05,13:14:39,13:14:39,10,2,,,,,
NORMAL_03_106_Go_09:55,09:55:00,09:55:00,2,1,,,,,
NORMAL_03_106_Go_09:55,10:09:26,10:09:26,13,2,,,,,
NORMAL_03_103_Go_08:15,08:15:00,08:15:00,10,1,,,,,
NORMAL_03_103_Go_08:15,08:28:59,08:28:59,9,2,,,,,
NORMAL_03_103_Go_14:00,14:00:00,14:00:00,10,1,,,,,
NORMAL_03_103_Go_14:00,14:13:59,14:13:59,9,2,,,,,
NORMAL_03_102_Return_09:30,09:30:00,09:30:00,7,1,,,,,
NORMAL_03_102_Return_09:30,09:40:48,09:40:48,10,2,,,,,
NORMAL_03_106_Go_11:30,11:30:00,11:30:00,2,1,,,,,
NORMAL_03_106_Go_11:30,11:44:26,11:44:26,13,2,,,,,
NORMAL_03_103_Return_19:15,19:15:00,19:15:00,9,1,,,,,
NORMAL_03_103_Return_19:15,19:25:48,19:25:48,10,2,,,,,
NORMAL_03_106_Return_17:10,17:10:00,17:10:00,13,1,,,,,
NORMAL_03_106_Return_17:10,17:31:45,17:31:45,2,2,,,,,
NORMAL_03_104_Go_10:05,10:05:00,10:05:00,10,1,,,,,
NORMAL_03_104_Go_10:05,10:15:05,10:15:05,11,2,,,,,
NORMAL_03_107_Go_12:00,12:00:00,12:00:00,10,1,,,,,
NORMAL_03_107_Go_12:00,12:11:54,12:11:54,2,2,,,,,
NORMAL_03_103_Go_17:35,17:35:00,17:35:00,10,1,,,,,
NORMAL_03_103_Go_17:35,17:48:59,17:48:59,9,2,,,,,
NORMAL_03_104_Return_12:20,12:20:00,12:20:00,11,1,,,,,
NORMAL_03_104_Return_12:20,12:30:39,12:30:39,10,2,,,,,
NORMAL_03_106_Return_06:45,06:45:00,06:45:00,13,1,,,,,
NORMAL_03_106_Return_06:45,07:06:45,07:06:45,2,2,,,,,
NORMAL_03_107_Go_16:15,16:15:00,16:15:00,10,1,,,,,
NORMAL_03_107_Go_16:15,16:26:54,16:26:54,2,2,,,,,
NORMAL_03_102_Return_18:10,18:10:00,18:10:00,7,1,,,,,
NORMAL_03_102_Return_18:10,18:23:24,18:23:24,10,2,,,,,
NORMAL_03_104_Go_13:25,13:25:00,13:25:00,10,1,,,,,
NORMAL_03_104_Go_13:25,13:37:44,13:37:44,11,2,,,,,
NORMAL_03_103_Return_09:05,09:05:00,09:05:00,9,1,,,,,
NORMAL_03_103_Return_09:05,09:15:48,09:15:48,10,2,,,,,
NORMAL_03_102_Go_18:05,18:05:00,18:05:00,10,1,,,,,
NORMAL_03_102_Go_18:05,18:16:02,18:16:02,7,2,,,,,
NORMAL_03_104_Go_07:20,07:20:00,07:20:00,10,1,,,,,
NORMAL_03_104_Go_07:20,07:30:55,07:30:55,11,2,,,,,
NORMAL_03_105_Return_18:40,18:40:00,18:40:00,3,1,,,,,
NORMAL_03_105_Return_18:40,18:52:44,19:09:30,4,2,,,,,
NORMAL_03_105_Return_18:40,19:15:22,19:35:51,5,3,,,,,
NORMAL_03_105_Return_18:40,19:50:28,19:50:28,10,4,,,,,
NORMAL_03_101_Return_19:30,19:30:00,19:30:00,2,1,,,,,
NORMAL_03_101_Return_19:30,19:37:16,19:37:16,3,2,,,,,
NORMAL_03_102_Go_21:25,21:25:00,21:25:00,10,1,,,,,
NORMAL_03_102_Go_21:25,21:36:56,21:36:56,7,2,,,,,
NORMAL_03_104_Go_16:05,16:05:00,16:05:00,10,1,,,,,
NORMAL_03_104_Go_16:05,16:15:37,16:15:37,11,2,,,,,
NORMAL_03_102_Return_12:25,12:25:00,12:25:00,7,1,,,,,
NORMAL_03_102_Return_12:25,12:36:46,12:36:46,10,2,,,,,
NORMAL_03_105_Go_14:15,14:15:00,14:15:00,10,1,,,,,
NORMAL_03_105_Go_14:15,14:26:09,14:26:09,3,2,,,,,
NORMAL_03_104_Go_16:00,16:00:00,16:00:00,10,1,,,,,
NORMAL_03_104_Go_16:00,16:10:37,16:10:37,11,2,,,,,
NORMAL_03_102_Return_11:55,11:55:00,11:55:00,7,1,,,,,
NORMAL_03_102_Return_11:55,12:06:32,12:06:32,10,2,,,,,
NORMAL_03_102_Go_11:10,11:10:00,11:10:00,10,1,,,,,
NORMAL_03_102_Go_11:10,11:19:36,11:19:36,7,2,,,,,
NORMAL_03_102_Return_08:20,08:20:00,08:20:00,7,1,,,,,
NORMAL_03_102_Return_08:20,08:32:00,08:32:00,10,2,,,,,
NORMAL_03_103_Return_11:40,11:40:00,11:40:00,9,1,,,,,
NORMAL_03_103_Return_11:40,11:50:07,11:50:07,10,2,,,,,
NORMAL_03_103_Go_08:30,08:30:00,08:30:00,10,1,,,,,
NORMAL_03_103_Go_08:30,08:43:59,08:43:59,9,2,,,,,
NORMAL_03_106_Go_19:40,19:40:00,19:40:00,2,1,,,,,
NORMAL_03_106_Go_19:40,19:54:26,19:54:26,13,2,,,,,
NORMAL_03_107_Return_20:35,20:35:00,20:35:00,2,1,,,,,
NORMAL_03_107_Return_20:35,20:44:39,20:44:39,10,2,,,,,
NORMAL_03_101_Return_15:05,15:05:00,15:05:00,2,1,,,,,
NORMAL_03_101_Return_15:05,15:12:36,15:12:36,3,2,,,,,
NORMAL_03_107_Return_08:25,08:25:00,08:25:00,2,1,,,,,
NORMAL_03_107_Return_08:25,08:34:39,08:34:39,10,2,,,,,
NORMAL_03_104_Return_21:05,21:05:00,21:05:00,11,1,,,,,
NORMAL_03_104_Return_21:05,21:16:21,21:16:21,10,2,,,,,
NORMAL_03_104_Go_08:40,08:40:00,08:40:00,10,1,,,,,
NORMAL_03_104_Go_08:40,08:50:47,08:50:47,11,2,,,,,
NORMAL_03_102_Go_20:55,20:55:00,20:55:00,10,1,,,,,
NORMAL_03_102_Go_20:55,21:06:54,21:06:54,7,2,,,,,
NORMAL_03_101_Return_15:30,15:30:00,15:30:00,2,1,,,,,
NORMAL_03_101_Return_15:30,15:37:36,15:37:36,3,2,,,,,
NORMAL_03_102_Return_12:50,12:50:00,12:50:00,7,1,,,,,
NORMAL_03_102_Return_12:50,13:01:46,13:01:46,10,2,,,,,
NORMAL_03_103_Go_10:45,10:45:00,10:45:00,10,1,,,,,
NORMAL_03_103_Go_10:45,10:58:59,10:58:59,9,2,,,,,
NORMAL_03_103_Go_08:40,08:40:00,08:40:00,10,1,,,,,
NORMAL_03_103_Go_08:40,08:53:59,08:53:59,9,2,,,,,
NORMAL_03_107_Return_19:55,19:55:00,19:55:00,2,1,,,,,
NORMAL_03_107_Return_19:55,20:04:39,20:04:39,10,2,,,,,
NORMAL_03_107_Go_09:10,09:10:00,09:10:00,10,1,,,,,
NORMAL_03_107_Go_09:10,09:21:54,09:21:54,2,2,,,,,
NORMAL_03_102_Return_07:55,07:55:00,07:55:00,7,1,,,,,
NORMAL_03_102_Return_07:55,08:05:40,08:05:40,10,2,,,,,
NORMAL_03_102_Return_10:35,10:35:00,10:35:00,7,1,,,,,
NORMAL_03_102_Return_10:35,10:46:29,10:46:29,10,2,,,,,
NORMAL_03_107_Return_10:10,10:10:00,10:10:00,2,1,,,,,
NORMAL_03_107_Return_10:10,10:19:39,10:19:39,10,2,,,,,
NORMAL_03_101_Return_20:50,20:50:00,20:50:00,2,1,,,,,
NORMAL_03_101_Return_20:50,20:58:05,20:58:05,3,2,,,,,
NORMAL_03_104_Return_13:45,13:45:00,13:45:00,11,1,,,,,
NORMAL_03_104_Return_13:45,13:56:02,13:56:02,10,2,,,,,
NORMAL_03_107_Go_15:50,15:50:00,15:50:00,10,1,,,,,
NORMAL_03_107_Go_15:50,16:01:54,16:01:54,2,2,,,,,
NORMAL_03_102_Return_14:35,14:35:00,14:35:00,7,1,,,,,
NORMAL_03_102_Return_14:35,14:47:06,14:47:06,10,2,,,,,
NORMAL_03_106_Return_06:15,06:15:00,06:15:00,13,1,,,,,
NORMAL_03_106_Return_06:15,06:36:45,06:36:45,2,2,,,,,
NORMAL_03_107_Return_13:55,13:55:00,13:55:00,2,1,,,,,
NORMAL_03_107_Return_13:55,14:04:39,14:04:39,10,2,,,,,
NORMAL_03_101_Go_20:55,20:55:00,20:55:00,3,1,,,,,
NORMAL_03_101_Go_20:55,21:03:36,21:03:36,2,2,,,,,
NORMAL_03_101_Return_17:55,17:55:00,17:55:00,2,1,,,,,
NORMAL_03_101_Return_17:55,18:02:15,18:02:15,3,2,,,,,
NORMAL_03_104_Go_20:40,20:40:00,20:40:00,10,1,,,,,
NORMAL_03_104_Go_20:40,20:50:37,20:50:37,11,2,,,,,
NORMAL_03_103_Return_16:50,16:50:00,16:50:00,9,1,,,,,
NORMAL_03_103_Return_16:50,17:00:48,17:00:48,10,2,,,,,
NORMAL_03_101_Return_19:55,19:55:00,19:55:00,2,1,,,,,
NORMAL_03_101_Return_19:55,20:02:16,20:02:16,3,2,,,,,
NORMAL_03_107_Go_08:40,08:40:00,08:40:00,10,1,,,,,
NORMAL_03_107_Go_08:40,08:51:54,08:51:54,2,2,,,,,
NORMAL_03_106_Go_18:10,18:10:00,18:10:00,2,1,,,,,
NORMAL_03_106_Go_18:10,18:24:26,18:24:26,13,2,,,,,
NORMAL_03_107_Go_09:20,09:20:00,09:20:00,10,1,,,,,
NORMAL_03_107_Go_09:20,09:31:54,09:31:54,2,2,,,,,
NORMAL_03_107_Return_21:40,21:40:00,21:40:00,2,1,,,,,
NORMAL_03_107_Return_21:40,21:49:39,21:49:39,10,2,,,,,
NORMAL_03_103_Go_22:05,22:05:00,22:05:00,10,1,,,,,
NORMAL_03_103_Go_22:05,22:18:59,22:18:59,9,2,,,,,
NORMAL_03_104_Go_20:55,20:55:00,20:55:00,10,1,,,,,
NORMAL_03_104_Go_20:55,21:05:37,21:05:37,11,2,,,,,
NORMAL_03_106_Go_20:20,20:20:00,20:20:00,2,1,,,,,
NORMAL_03_106_Go_20:20,20:34:26,20:34:26,13,2,,,,,
NORMAL_03_103_Go_18:55,18:55:00,18:55:00,10,1,,,,,
NORMAL_03_103_Go_18:55,19:08:59,19:08:59,9,2,,,,,
NORMAL_03_102_Go_11:25,11:25:00,11:25:00,10,1,,,,,
NORMAL_03_102_Go_11:25,11:34:36,11:34:36,7,2,,,,,
NORMAL_03_103_Go_09:50,09:50:00,09:50:00,10,1,,,,,
NORMAL_03_103_Go_09:50,10:03:59,10:03:59,9,2,,,,,
NORMAL_03_101_Go_07:50,07:50:00,07:50:00,3,1,,,,,
NORMAL_03_101_Go_07:50,07:59:48,07:59:48,2,2,,,,,
NORMAL_03_104_Go_19:10,19:10:00,19:10:00,10,1,,,,,
NORMAL_03_104_Go_19:10,19:20:37,19:20:37,11,2,,,,,
NORMAL_03_106_Go_19:05,19:05:00,19:05:00,2,1,,,,,
NORMAL_03_106_Go_19:05,19:19:26,19:19:26,13,2,,,,,
NORMAL_03_105_Go_16:00,16:00:00,16:00:00,10,1,,,,,
NORMAL_03_105_Go_16:00,16:14:15,16:14:15,3,2,,,,,
NORMAL_03_102_Return_20:50,20:50:00,20:50:00,7,1,,,,,
NORMAL_03_102_Return_20:50,21:03:05,21:03:05,10,2,,,,,
NORMAL_03_101_Go_20:45,20:45:00,20:45:00,3,1,,,,,
NORMAL_03_101_Go_20:45,20:53:36,20:53:36,2,2,,,,,
NORMAL_03_101_Return_21:45,21:45:00,21:45:00,2,1,,,,,
NORMAL_03_101_Return_21:45,21:52:35,21:52:35,3,2,,,,,
NORMAL_03_102_Go_15:10,15:10:00,15:10:00,10,1,,,,,
NORMAL_03_102_Go_15:10,15:19:48,15:19:48,7,2,,,,,
NORMAL_03_106_Return_08:55,08:55:00,08:55:00,13,1,,,,,
NORMAL_03_106_Return_08:55,09:16:45,09:16:45,2,2,,,,,
NORMAL_03_105_Return_15:10,15:10:00,15:10:00,3,1,,,,,
NORMAL_03_105_Return_15:10,15:19:53,15:30:26,4,2,,,,,
NORMAL_03_105_Return_15:10,15:34:58,15:43:18,5,3,,,,,
NORMAL_03_105_Return_15:10,15:56:44,15:56:44,10,4,,,,,
NORMAL_03_101_Go_18:15,18:15:00,18:15:00,3,1,,,,,
NORMAL_03_101_Go_18:15,18:24:05,18:24:05,2,2,,,,,
NORMAL_03_101_Go_16:05,16:05:00,16:05:00,3,1,,,,,
NORMAL_03_101_Go_16:05,16:13:07,16:13:07,2,2,,,,,
NORMAL_03_106_Return_11:20,11:20:00,11:20:00,13,1,,,,,
NORMAL_03_106_Return_11:20,11:41:45,11:41:45,2,2,,,,,
NORMAL_03_103_Return_11:45,11:45:00,11:45:00,9,1,,,,,
NORMAL_03_103_Return_11:45,11:55:07,11:55:07,10,2,,,,,
NORMAL_03_103_Go_09:10,09:10:00,09:10:00,10,1,,,,,
NORMAL_03_103_Go_09:10,09:23:59,09:23:59,9,2,,,,,
NORMAL_03_106_Go_12:10,12:10:00,12:10:00,2,1,,,,,
NORMAL_03_106_Go_12:10,12:24:26,12:24:26,13,2,,,,,
NORMAL_03_103_Return_20:20,20:20:00,20:20:00,9,1,,,,,
NORMAL_03_103_Return_20:20,20:30:48,20:30:48,10,2,,,,,
NORMAL_03_102_Go_16:55,16:55:00,16:55:00,10,1,,,,,
NORMAL_03_102_Go_16:55,17:05:29,17:05:29,7,2,,,,,
NORMAL_03_107_Go_11:25,11:25:00,11:25:00,10,1,,,,,
NORMAL_03_107_Go_11:25,11:36:54,11:36:54,2,2,,,,,
NORMAL_03_105_Return_08:40,08:40:00,08:40:00,3,1,,,,,
NORMAL_03_105_Return_08:40,08:47:47,09:25:15,4,2,,,,,
NORMAL_03_105_Return_08:40,09:29:51,09:38:29,5,3,,,,,
NORMAL_03_105_Return_08:40,10:06:54,10:06:54,10,4,,,,,
NORMAL_03_103_Go_20:45,20:45:00,20:45:00,10,1,,,,,
NORMAL_03_103_Go_20:45,20:58:59,20:58:59,9,2,,,,,
NORMAL_03_106_Return_22:05,22:05:00,22:05:00,13,1,,,,,
NORMAL_03_106_Return_22:05,22:26:45,22:26:45,2,2,,,,,
NORMAL_03_102_Go_20:15,20:15:00,20:15:00,10,1,,,,,
NORMAL_03_102_Go_20:15,20:26:54,20:26:54,7,2,,,,,
NORMAL_03_105_Return_08:10,08:10:00,08:10:00,3,1,,,,,
NORMAL_03_105_Return_08:10,08:17:47,08:55:15,4,2,,,,,
NORMAL_03_105_Return_08:10,08:59:51,09:08:29,5,3,,,,,
NORMAL_03_105_Return_08:10,09:36:54,09:36:54,10,4,,,,,
NORMAL_03_105_Return_16:25,16:25:00,16:25:00,3,1,,,,,
NORMAL_03_105_Return_16:25,16:34:44,16:47:15,4,2,,,,,
NORMAL_03_105_Return_16:25,16:52:50,17:15:42,5,3,,,,,
NORMAL_03_105_Return_16:25,17:30:19,17:30:19,10,4,,,,,
NORMAL_03_107_Return_21:05,21:05:00,21:05:00,2,1,,,,,
NORMAL_03_107_Return_21:05,21:14:39,21:14:39,10,2,,,,,
NORMAL_03_104_Go_09:10,09:10:00,09:10:00,10,1,,,,,
NORMAL_03_104_Go_09:10,09:19:28,09:19:28,11,2,,,,,
NORMAL_03_105_Go_17:00,17:00:00,17:00:00,10,1,,,,,
NORMAL_03_105_Go_17:00,17:14:22,17:14:22,3,2,,,,,
NORMAL_03_104_Go_16:45,16:45:00,16:45:00,10,1,,,,,
NORMAL_03_104_Go_16:45,16:55:37,16:55:37,11,2,,,,,
NORMAL_03_102_Return_17:40,17:40:00,17:40:00,7,1,,,,,
NORMAL_03_102_Return_17:40,17:53:49,17:53:49,10,2,,,,,
NORMAL_03_107_Go_12:30,12:30:00,12:30:00,10,1,,,,,
NORMAL_03_107_Go_12:30,12:41:54,12:41:54,2,2,,,,,
NORMAL_03_106_Go_14:50,14:50:00,14:50:00,2,1,,,,,
NORMAL_03_106_Go_14:50,15:04:26,15:04:26,13,2,,,,,
NORMAL_03_102_Return_18:25,18:25:00,18:25:00,7,1,,,,,
NORMAL_03_102_Return_18:25,18:38:24,18:38:24,10,2,,,,,
NORMAL_03_107_Return_13:15,13:15:00,13:15:00,2,1,,,,,
NORMAL_03_107_Return_13:15,13:24:39,13:24:39,10,2,,,,,
NORMAL_03_101_Return_21:30,21:30:00,21:30:00,2,1,,,,,
NORMAL_03_101_Return_21:30,21:37:35,21:37:35,3,2,,,,,
NORMAL_03_105_Go_07:00,07:00:00,07:00:00,10,1,,,,,
NORMAL_03_105_Go_07:00,07:18:12,07:18:12,3,2,,,,,
NORMAL_03_104_Return_17:40,17:40:00,17:40:00,11,1,,,,,
NORMAL_03_104_Return_17:40,17:51:21,17:51:21,10,2,,,,,
NORMAL_03_107_Go_19:20,19:20:00,19:20:00,10,1,,,,,
NORMAL_03_107_Go_19:20,19:31:54,19:31:54,2,2,,,,,
NORMAL_03_107_Return_19:30,19:30:00,19:30:00,2,1,,,,,
NORMAL_03_107_Return_19:30,19:39:39,19:39:39,10,2,,,,,
NORMAL_03_106_Go_21:55,21:55:00,21:55:00,2,1,,,,,
NORMAL_03_106_Go_21:55,22:09:26,22:09:26,13,2,,,,,
NORMAL_03_104_Return_19:05,19:05:00,19:05:00,11,1,,,,,
NORMAL_03_104_Return_19:05,19:16:21,19:16:21,10,2,,,,,
NORMAL_03_102_Return_19:45,19:45:00,19:45:00,7,1,,,,,
NORMAL_03_102_Return_19:45,19:57:45,19:57:45,10,2,,,,,
NORMAL_03_106_Return_15:10,15:10:00,15:10:00,13,1,,,,,
NORMAL_03_106_Return_15:10,15:31:45,15:31:45,2,2,,,,,
NORMAL_03_106_Return_18:00,18:00:00,18:00:00,13,1,,,,,
NORMAL_03_106_Return_18:00,18:21:45,18:21:45,2,2,,,,,
NORMAL_03_101_Return_16:20,16:20:00,16:20:00,2,1,,,,,
NORMAL_03_101_Return_16:20,16:27:20,16:27:20,3,2,,,,,
NORMAL_03_106_Return_19:25,19:25:00,19:25:00,13,1,,,,,
NORMAL_03_106_Return_19:25,19:46:45,19:46:45,2,2,,,,,
NORMAL_03_106_Go_21:05,21:05:00,21:05:00,2,1,,,,,
NORMAL_03_106_Go_21:05,21:19:26,21:19:26,13,2,,,,,
NORMAL_03_101_Go_07:25,07:25:00,07:25:00,3,1,,,,,
NORMAL_03_101_Go_07:25,07:34:48,07:34:48,2,2,,,,,
NORMAL_03_103_Return_15:30,15:30:00,15:30:00,9,1,,,,,
