route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,duty,duty_sequence_number,run_sequence_number
104,1,NORMAL_03_104_Go_10:05,AL Masjid Al-nabawi (AL Salam Gate),,1,104_04,127,,,104_041,11,11
107,1,NORMAL_03_107_Go_12:00,AL Masjid Al-nabawi (Clock Roundabout),,1,107_01,131,,,107_011,19,19
103,1,NORMAL_03_103_Go_17:35,AL Masjid Al-nabawi (Manakha Square),,1,103_02,125,,,103_022,11,35
104,1,NORMAL_03_104_Return_12:20,Quba Mosque,,1,104_01,128,,,104_011,20,20
106,1,NORMAL_03_106_Return_06:45,AL Masjid Al-nabawi (Clock Roundabout),,1,106_04,50,,,106_041,1,1
107,1,NORMAL_03_107_Go_16:15,AL Masjid Al-nabawi (Clock Roundabout),,1,107_02,131,,,107_022,7,31
102,1,NORMAL_03_102_Return_18:10,Quba Mosque,,1,102_03,124,,,102_032,12,36
104,1,NORMAL_03_104_Go_13:25,AL Masjid Al-nabawi (AL Salam Gate),,1,104_04,127,,,104_041,21,21
103,1,NORMAL_03_103_Return_09:05,Quba Mosque,,1,103_04,126,,,103_041,8,8
102,1,NORMAL_03_102_Go_18:05,AL Masjid Al-nabawi (AL Baqe),,1,102_04,111,,,102_042,11,35
104,1,NORMAL_03_104_Go_07:20,AL Masjid Al-nabawi (AL Salam Gate),,1,104_01,127,,,104_011,5,5
105,1,NORMAL_03_105_Return_18:40,Quba Mosque,,1,105_03,129,,,105_032,8,24
101,1,NORMAL_03_101_Return_19:30,Uhud battlefield,,1,101_03,41,,,101_032,16,40
102,1,NORMAL_03_102_Go_21:25,AL Masjid Al-nabawi (AL Baqe),,1,102_04,111,,,102_042,21,45
104,1,NORMAL_03_104_Go_16:05,AL Masjid Al-nabawi (AL Salam Gate),,1,104_04,127,,,104_042,5,29
102,1,NORMAL_03_102_Return_12:25,Quba Mosque,,1,102_04,124,,,102_041,18,18
105,1,NORMAL_03_105_Go_14:15,Uhud battlefield,,1,105_03,130,,,105_031,15,15
104,1,NORMAL_03_104_Go_16:00,AL Masjid Al-nabawi (AL Salam Gate),,1,104_01,127,,,104_012,7,31
102,1,NORMAL_03_102_Return_11:55,Quba Mosque,,1,102_02,124,,,102_021,18,18
102,1,NORMAL_03_102_Go_11:10,AL Masjid Al-nabawi (AL Baqe),,1,102_03,111,,,102_031,15,15
102,1,NORMAL_03_102_Return_08:20,Quba Mosque,,1,102_01,124,,,102_011,8,8
103,1,NORMAL_03_103_Return_11:40,Quba Mosque,,1,103_01,126,,,103_011,18,18
103,1,NORMAL_03_103_Go_08:30,AL Masjid Al-nabawi (Manakha Square),,1,103_03,125,,,103_031,7,7
106,1,NORMAL_03_106_Go_19:40,Railway Station,,0,106_01,51,,,106_012,18,42
107,1,NORMAL_03_107_Return_20:35,Quba Mosque,,1,107_02,132,,,107_022,20,44
101,1,NORMAL_03_101_Return_15:05,Uhud battlefield,,1,101_04,41,,,101_042,2,26
107,1,NORMAL_03_107_Return_08:25,Quba Mosque,,1,107_04,132,,,107_041,6,6
104,1,NORMAL_03_104_Return_21:05,Quba Mosque,,1,104_04,128,,,104_042,20,44
104,1,NORMAL_03_104_Go_08:40,AL Masjid Al-nabawi (AL Salam Gate),,1,104_01,127,,,104_011,9,9
102,1,NORMAL_03_102_Go_20:55,AL Masjid Al-nabawi (AL Baqe),,1,102_02,111,,,102_022,21,45
101,1,NORMAL_03_101_Return_15:30,Uhud battlefield,,1,101_03,41,,,101_032,4,28
102,1,NORMAL_03_102_Return_12:50,Quba Mosque,,1,102_03,124,,,102_031,20,20
103,1,NORMAL_03_103_Go_10:45,AL Masjid Al-nabawi (Manakha Square),,1,103_04,125,,,103_041,13,13
103,1,NORMAL_03_103_Go_08:40,AL Masjid Al-nabawi (Manakha Square),,1,103_01,125,,,103_011,9,9
107,1,NORMAL_03_107_Return_19:55,Quba Mosque,,1,107_02,132,,,107_022,18,42
107,1,NORMAL_03_107_Go_09:10,AL Masjid Al-nabawi (Clock Roundabout),,1,107_03,131,,,107_031,9,9
102,1,NORMAL_03_102_Return_07:55,Quba Mosque,,1,102_02,124,,,102_021,6,6
102,1,NORMAL_03_102_Return_10:35,Quba Mosque,,1,102_02,124,,,102_021,14,14
107,1,NORMAL_03_107_Return_10:10,Quba Mosque,,1,107_03,132,,,107_031,12,12
101,1,NORMAL_03_101_Return_20:50,Uhud battlefield,,1,101_03,41,,,101_032,20,44
104,1,NORMAL_03_104_Return_13:45,Quba Mosque,,1,104_04,128,,,104_041,22,22
107,1,NORMAL_03_107_Go_15:50,AL Masjid Al-nabawi (Clock Roundabout),,1,107_03,131,,,107_032,5,29
102,1,NORMAL_03_102_Return_14:35,Quba Mosque,,1,102_02,124,,,102_022,2,26
106,1,NORMAL_03_106_Return_06:15,AL Masjid Al-nabawi (Clock Roundabout),,1,106_02,50,,,106_021,1,1
107,1,NORMAL_03_107_Return_13:55,Quba Mosque,,1,107_02,132,,,107_021,24,24
101,1,NORMAL_03_101_Go_20:55,AL Masjid Al-nabawi (Clock Roundabout),,0,101_02,102,,,101_022,21,45
101,1,NORMAL_03_101_Return_17:55,Uhud battlefield,,1,101_02,41,,,101_022,12,36
104,1,NORMAL_03_104_Go_20:40,AL Masjid Al-nabawi (AL Salam Gate),,1,104_01,127,,,104_012,21,45
103,1,NORMAL_03_103_Return_16:50,Quba Mosque,,1,103_03,126,,,103_032,8,32
101,1,NORMAL_03_101_Return_19:55,Uhud battlefield,,1,101_02,41,,,101_022,18,42
107,1,NORMAL_03_107_Go_08:40,AL Masjid Al-nabawi (Clock Roundabout),,1,107_01,131,,,107_011,9,9
106,1,NORMAL_03_106_Go_18:10,Railway Station,,0,106_03,51,,,106_032,12,36
107,1,NORMAL_03_107_Go_09:20,AL Masjid Al-nabawi (Clock Roundabout),,1,107_01,131,,,107_011,11,11
107,1,NORMAL_03_107_Return_21:40,Quba Mosque,,1,107_01,132,,,107_012,25,48
103,1,NORMAL_03_103_Go_22:05,AL Masjid Al-nabawi (Manakha Square),,1,103_04,125,,,103_042,23,47
104,1,NORMAL_03_104_Go_20:55,AL Masjid Al-nabawi (AL Salam Gate),,1,104_02,127,,,104_022,21,45
106,1,NORMAL_03_106_Go_20:20,Railway Station,,0,106_01,51,,,106_012,20,44
103,1,NORMAL_03_103_Go_18:55,AL Masjid Al-nabawi (Manakha Square),,1,103_02,125,,,103_022,15,39
102,1,NORMAL_03_102_Go_11:25,AL Masjid Al-nabawi (AL Baqe),,1,102_04,111,,,102_041,15,15
103,1,NORMAL_03_103_Go_09:50,AL Masjid Al-nabawi (Manakha Square),,1,103_03,125,,,103_031,11,11
101,1,NORMAL_03_101_Go_07:50,AL Masjid Al-nabawi (Clock Roundabout),,0,101_03,102,,,101_031,5,5
104,1,NORMAL_03_104_Go_19:10,AL Masjid Al-nabawi (AL Salam Gate),,1,104_03,127,,,104_032,15,39
106,1,NORMAL_03_106_Go_19:05,Railway Station,,0,106_04,51,,,106_042,14,38
105,1,NORMAL_03_105_Go_16:00,Uhud battlefield,,1,105_02,130,,,105_022,3,19
102,1,NORMAL_03_102_Return_20:50,Quba Mosque,,1,102_03,124,,,102_032,20,44
101,1,NORMAL_03_101_Go_20:45,AL Masjid Al-nabawi (Clock Roundabout),,0,101_04,102,,,101_042,19,43
101,1,NORMAL_03_101_Return_21:45,Uhud battlefield,,1,101_04,41,,,101_042,22,46
102,1,NORMAL_03_102_Go_15:10,AL Masjid Al-nabawi (AL Baqe),,1,102_03,111,,,102_032,3,27
106,1,NORMAL_03_106_Return_08:55,AL Masjid Al-nabawi (Clock Roundabout),,1,106_02,50,,,106_021,9,9
105,1,NORMAL_03_105_Return_15:10,Quba Mosque,,1,105_01,129,,,105_012,2,18
101,1,NORMAL_03_101_Go_18:15,AL Masjid Al-nabawi (Clock Roundabout),,0,101_02,102,,,101_022,13,37
101,1,NORMAL_03_101_Go_16:05,AL Masjid Al-nabawi (Clock Roundabout),,0,101_04,102,,,101_042,5,29
106,1,NORMAL_03_106_Return_11:20,AL Masjid Al-nabawi (Clock Roundabout),,1,106_01,50,,,106_011,17,17
103,1,NORMAL_03_103_Return_11:45,Quba Mosque,,1,103_04,126,,,103_041,16,16
103,1,NORMAL_03_103_Go_09:10,AL Masjid Al-nabawi (Manakha Square),,1,103_03,125,,,103_031,9,9
106,1,NORMAL_03_106_Go_12:10,Railway Station,,0,106_03,51,,,106_031,18,18
103,1,NORMAL_03_103_Return_20:20,Quba Mosque,,1,103_01,126,,,103_012,20,44
102,1,NORMAL_03_102_Go_16:55,AL Masjid Al-nabawi (AL Baqe),,1,102_02,111,,,102_022,9,33
107,1,NORMAL_03_107_Go_11:25,AL Masjid Al-nabawi (Clock Roundabout),,1,107_04,131,,,107_041,15,15
105,1,NORMAL_03_105_Return_08:40,Quba Mosque,,1,105_03,129,,,105_031,4,4
103,1,NORMAL_03_103_Go_20:45,AL Masjid Al-nabawi (Manakha Square),,1,103_04,125,,,103_042,19,43
106,1,NORMAL_03_106_Return_22:05,AL Masjid Al-nabawi (Clock Roundabout),,1,106_04,50,,,106_042,23,47
102,1,NORMAL_03_102_Go_20:15,AL Masjid Al-nabawi (AL Baqe),,1,102_02,111,,,102_022,19,43
105,1,NORMAL_03_105_Return_08:10,Quba Mosque,,1,105_01,129,,,105_011,4,4
105,1,NORMAL_03_105_Return_16:25,Quba Mosque,,1,105_02,129,,,105_022,4,20
107,1,NORMAL_03_107_Return_21:05,Quba Mosque,,1,107_04,132,,,107_042,20,44
104,1,NORMAL_03_104_Go_09:10,AL Masjid Al-nabawi (AL Salam Gate),,1,104_03,127,,,104_031,9,9
105,1,NORMAL_03_105_Go_17:00,Uhud battlefield,,1,105_02,130,,,105_022,5,21
104,1,NORMAL_03_104_Go_16:45,AL Masjid Al-nabawi (AL Salam Gate),,1,104_04,127,,,104_042,7,31
102,1,NORMAL_03_102_Return_17:40,Quba Mosque,,1,102_01,124,,,102_012,12,36
107,1,NORMAL_03_107_Go_12:30,AL Masjid Al-nabawi (Clock Roundabout),,1,107_03,131,,,107_031,19,19
106,1,NORMAL_03_106_Go_14:50,Railway Station,,0,106_03,51,,,106_032,2,26
102,1,NORMAL_03_102_Return_18:25,Quba Mosque,,1,102_04,124,,,102_042,12,36
107,1,NORMAL_03_107_Return_13:15,Quba Mosque,,1,107_02,132,,,107_021,22,22
101,1,NORMAL_03_101_Return_21:30,Uhud battlefield,,1,101_03,41,,,101_032,22,46
105,1,NORMAL_03_105_Go_07:00,Uhud battlefield,,1,105_02,130,,,105_021,1,1
104,1,NORMAL_03_104_Return_17:40,Quba Mosque,,1,104_01,128,,,104_012,12,36
107,1,NORMAL_03_107_Go_19:20,AL Masjid Al-nabawi (Clock Roundabout),,1,107_01,131,,,107_012,18,41
107,1,NORMAL_03_107_Return_19:30,Quba Mosque,,1,107_03,132,,,107_032,16,40
106,1,NORMAL_03_106_Go_21:55,Railway Station,,0,106_02,51,,,106_022,24,48
104,1,NORMAL_03_104_Return_19:05,Quba Mosque,,1,104_04,128,,,104_042,14,38
102,1,NORMAL_03_102_Return_19:45,Quba Mosque,,1,102_04,124,,,102_042,16,40
106,1,NORMAL_03_106_Return_15:10,AL Masjid Al-nabawi (Clock Roundabout),,1,106_03,50,,,106_032,3,27
106,1,NORMAL_03_106_Return_18:00,AL Masjid Al-nabawi (Clock Roundabout),,1,106_01,50,,,106_012,13,37
101,1,NORMAL_03_101_Return_16:20,Uhud battlefield,,1,101_01,41,,,101_012,8,32
106,1,NORMAL_03_106_Return_19:25,AL Masjid Al-nabawi (Clock Roundabout),,1,106_04,50,,,106_042,15,39
106,1,NORMAL_03_106_Go_21:05,Railway Station,,0,106_04,51,,,106_042,20,44
101,1,NORMAL_03_101_Go_07:25,AL Masjid Al-nabawi (Clock Roundabout),,0,101_04,102,,,101_041,3,3
103,1,NORMAL_03_103_Return_15:30,Quba Mosque,,1,103_03,126,,,103_032,4,28
103,1,NORMAL_03_103_Go_12:00,AL Masjid Al-nabawi (Manakha Square),,1,103_01,125,,,103_011,19,19
106,1,NORMAL_03_106_Return_21:50,AL Masjid Al-nabawi (Clock Roundabout),,1,106_03,50,,,106_032,23,47
104,1,NORMAL_03_104_Return_08:10,Quba Mosque,,1,104_03,128,,,104_031,6,6
104,1,NORMAL_03_104_Go_08:45,AL Masjid Al-nabawi (AL Salam Gate),,1,104_04,127,,,104_041,7,7
104,1,NORMAL_03_104_Return_17:30,Quba Mosque,,1,104_03,128,,,104_032,10,34
107,1,NORMAL_03_107_Go_13:10,AL Masjid Al-nabawi (Clock Roundabout),,1,107_03,131,,,107_031,21,21
101,1,NORMAL_03_101_Go_13:50,AL Masjid Al-nabawi (Clock Roundabout),,0,101_03,102,,,101_031,23,23
102,1,NORMAL_03_102_Return_08:50,Quba Mosque,,1,102_03,124,,,102_031,8,8
103,1,NORMAL_03_103_Return_12:50,Quba Mosque,,1,103_03,126,,,103_031,20,20
107,1,NORMAL_03_107_Go_21:10,AL Masjid Al-nabawi (Clock Roundabout),,1,107_03,131,,,107_032,21,45
104,1,NORMAL_03_104_Go_11:20,AL Masjid Al-nabawi (AL Salam Gate),,1,104_01,127,,,104_011,17,17
104,1,NORMAL_03_104_Return_14:10,Quba Mosque,,1,104_03,128,,,104_031,24,24
106,1,NORMAL_03_106_Go_07:40,Railway Station,,0,106_01,51,,,106_011,6,6
103,1,NORMAL_03_103_Return_06:35,Quba Mosque,,1,103_02,126,,,103_021,2,2
104,1,NORMAL_03_104_Return_19:55,Quba Mosque,,1,104_02,128,,,104_022,18,42
103,1,NORMAL_03_103_Return_11:05,Quba Mosque,,1,103_04,126,,,103_041,14,14
104,1,NORMAL_03_104_Go_11:10,AL Masjid Al-nabawi (AL Salam Gate),,1,104_03,127,,,104_031,15,15
103,1,NORMAL_03_103_Return_16:35,Quba Mosque,,1,103_02,126,,,103_022,8,32
104,1,NORMAL_03_104_Go_12:05,AL Masjid Al-nabawi (AL Salam Gate),,1,104_04,127,,,104_041,17,17
104,1,NORMAL_03_104_Go_09:25,AL Masjid Al-nabawi (AL Salam Gate),,1,104_04,127,,,104_041,9,9
107,1,NORMAL_03_107_Go_18:15,AL Masjid Al-nabawi (Clock Roundabout),,1,107_02,131,,,107_022,13,37
105,1,NORMAL_03_105_Return_21:40,Quba Mosque,,1,105_03,129,,,105_032,14,30
102,1,NORMAL_03_102_Go_08:45,AL Masjid Al-nabawi (AL Baqe),,1,102_04,111,,,102_041,7,7
106,1,NORMAL_03_106_Return_09:10,AL Masjid Al-nabawi (Clock Roundabout),,1,106_03,50,,,106_031,9,9
106,1,NORMAL_03_106_Return_12:55,AL Masjid Al-nabawi (Clock Roundabout),,1,106_02,50,,,106_021,21,21
107,1,NORMAL_03_107_Go_15:10,AL Masjid Al-nabawi (Clock Roundabout),,1,107_03,131,,,107_032,3,27
105,1,NORMAL_03_105_Go_13:15,Uhud battlefield,,1,105_03,130,,,105_031,13,13
101,1,NORMAL_03_101_Return_11:05,Uhud battlefield,,1,101_04,41,,,101_041,14,14
103,1,NORMAL_03_103_Return_16:25,Quba Mosque,,1,103_04,126,,,103_042,6,30
103,1,NORMAL_03_103_Go_10:55,AL Masjid Al-nabawi (Manakha Square),,1,103_02,125,,,103_021,15,15
103,1,NORMAL_03_103_Go_17:25,AL Masjid Al-nabawi (Manakha Square),,1,103_04,125,,,103_042,9,33
101,1,NORMAL_03_101_Return_06:20,Uhud battlefield,,1,101_01,41,,,101_011,2,2
103,1,NORMAL_03_103_Return_07:30,Quba Mosque,,1,103_03,126,,,103_031,4,4
101,1,NORMAL_03_101_Go_10:55,AL Masjid Al-nabawi (Clock Roundabout),,0,101_02,102,,,101_021,15,15
101,1,NORMAL_03_101_Return_13:55,Uhud battlefield,,1,101_02,41,,,101_021,24,24
103,1,NORMAL_03_103_Go_20:00,AL Masjid Al-nabawi (Manakha Square),,1,103_01,125,,,103_012,19,43
106,1,NORMAL_03_106_Return_17:20,AL Masjid Al-nabawi (Clock Roundabout),,1,106_01,50,,,106_012,11,35
105,1,NORMAL_03_105_Return_16:40,Quba Mosque,,1,105_03,129,,,105_032,4,20
107,1,NORMAL_03_107_Go_19:35,AL Masjid Al-nabawi (Clock Roundabout),,1,107_02,131,,,107_022,17,41
102,1,NORMAL_03_102_Go_20:05,AL Masjid Al-nabawi (AL Baqe),,1,102_04,111,,,102_042,17,41
104,1,NORMAL_03_104_Go_14:45,AL Masjid Al-nabawi (AL Salam Gate),,1,104_04,127,,,104_042,1,25
102,1,NORMAL_03_102_Return_13:00,Quba Mosque,,1,102_01,124,,,102_011,22,22
103,1,NORMAL_03_103_Return_18:20,Quba Mosque,,1,103_01,126,,,103_012,14,38
101,1,NORMAL_03_101_Return_14:25,Uhud battlefield,,1,101_04,41,,,101_041,24,24
103,1,NORMAL_03_103_Return_11:30,Quba Mosque,,1,103_03,126,,,103_031,16,16
102,1,NORMAL_03_102_Go_12:40,AL Masjid Al-nabawi (AL Baqe),,1,102_01,111,,,102_011,21,21
106,1,NORMAL_03_106_Return_19:50,AL Masjid Al-nabawi (Clock Roundabout),,1,106_03,50,,,106_032,17,41
104,1,NORMAL_03_104_Go_14:00,AL Masjid Al-nabawi (AL Salam Gate),,1,104_01,127,,,104_012,1,25
106,1,NORMAL_03_106_Return_07:25,AL Masjid Al-nabawi (Clock Roundabout),,1,106_04,50,,,106_041,3,3
101,1,NORMAL_03_101_Return_16:35,Uhud battlefield,,1,101_02,41,,,101_022,8,32
101,1,NORMAL_03_101_Return_10:10,Uhud battlefield,,1,101_03,41,,,101_031,12,12
104,1,NORMAL_03_104_Go_08:00,AL Masjid Al-nabawi (AL Salam Gate),,1,104_01,127,,,104_011,7,7
105,1,NORMAL_03_105_Return_12:40,Quba Mosque,,1,105_03,129,,,105_031,12,12
104,1,NORMAL_03_104_Return_11:30,Quba Mosque,,1,104_03,128,,,104_031,16,16
106,1,NORMAL_03_106_Go_11:45,Railway Station,,0,106_04,51,,,106_041,16,16
106,1,NORMAL_03_106_Go_16:20,Railway Station,,0,106_01,51,,,106_012,8,32
106,1,NORMAL_03_106_Return_20:55,AL Masjid Al-nabawi (Clock Roundabout),,1,106_02,50,,,106_022,21,45
102,1,NORMAL_03_102_Go_12:45,AL Masjid Al-nabawi (AL Baqe),,1,102_04,111,,,102_041,19,19
105,1,NORMAL_03_105_Go_12:45,Uhud battlefield,,1,105_01,130,,,105_011,13,13
106,1,NORMAL_03_106_Go_22:25,Railway Station,,0,106_04,51,,,106_042,24,48
101,1,NORMAL_03_101_Return_08:50,Uhud battlefield,,1,101_03,41,,,101_031,8,8
105,1,NORMAL_03_105_Return_21:10,Quba Mosque,,1,105_01,129,,,105_012,14,30
107,1,NORMAL_03_107_Go_17:35,AL Masjid Al-nabawi (Clock Roundabout),,1,107_02,131,,,107_022,11,35
101,1,NORMAL_03_101_Go_16:00,AL Masjid Al-nabawi (Clock Roundabout),,0,101_01,102,,,101_012,7,31
106,1,NORMAL_03_106_Go_20:50,Railway Station,,0,106_03,51,,,106_032,20,44
102,1,NORMAL_03_102_Return_15:55,Quba Mosque,,1,102_02,124,,,102_022,6,30
107,1,NORMAL_03_107_Go_20:05,AL Masjid Al-nabawi (Clock Roundabout),,1,107_04,131,,,107_042,17,41
103,1,NORMAL_03_103_Return_17:45,Quba Mosque,,1,103_04,126,,,103_042,10,34
104,1,NORMAL_03_104_Return_20:25,Quba Mosque,,1,104_04,128,,,104_042,18,42
107,1,NORMAL_03_107_Return_16:20,Quba Mosque,,1,107_01,132,,,107_012,9,32
106,1,NORMAL_03_106_Return_10:55,AL Masjid Al-nabawi (Clock Roundabout),,1,106_02,50,,,106_021,15,15
103,1,NORMAL_03_103_Return_13:40,Quba Mosque,,1,103_01,126,,,103_011,24,24
103,1,NORMAL_03_103_Go_08:05,AL Masjid Al-nabawi (Manakha Square),,1,103_04,125,,,103_041,5,5
101,1,NORMAL_03_101_Go_17:50,AL Masjid Al-nabawi (Clock Roundabout),,0,101_03,102,,,101_032,11,35
107,1,NORMAL_03_107_Go_06:00,AL Masjid Al-nabawi (Clock Roundabout),,1,107_01,131,,,107_011,1,1
104,1,NORMAL_03_104_Return_19:15,Quba Mosque,,1,104_02,128,,,104_022,16,40
104,1,NORMAL_03_104_Go_13:10,AL Masjid Al-nabawi (AL Salam Gate),,1,104_03,127,,,104_031,21,21
103,1,NORMAL_03_103_Go_21:10,AL Masjid Al-nabawi (Manakha Square),,1,103_03,125,,,103_032,21,45
104,1,NORMAL_03_104_Return_09:55,Quba Mosque,,1,104_02,128,,,104_021,12,12
